	clef	Remplis	Français	Anglais	Espagnol	Catalan
						
Athletisme 100 m	Athletisme_Instructions	x	Tirer sur les jetons de votre pays	Shoot your team’s tokens	Dispara a las fichas de tu país.	Dispara a les fitxes del teu país
Athletisme 400 m			Tirer sur les jetons de votre pays	Shoot your team’s tokens	Dispara a las fichas de tu país.	Dispara a les fitxes del teu país
Basket 	Basket_Instructions	X	Marquer le maximum de paniers en visant l'arceau	Score as many baskets as possible by aiming for the hoop	Anota tantas canastas como puedas apuntando al aro.	Anoteu tantes cistelles com pugueu apuntant a l'anella.
Blocks	Blocks_Instructions	x	Tourner les blocks dans le bon sens.	Turn the blocks the right way.	Gira los bloques en la dirección correcta.	Gira els blocs en la direcció correcta.
Clean & collect banquise	Clean&collect_Instructions	X	Tirer sur les déchets pour les collecter	Shoot on the trash to collect it	Lanza sobre la basura para recogerla.	Apunta sobre els residus per recollir-los
Clean & collect plage			Tirer sur les déchets pour les collecter		Lanza sobre la basura para recogerla.	Apunta sobre els residus per recollir-los
Clean & collect espace			Tirer sur les déchets pour les collecter		Lanza sobre la basura para recogerla.	Apunta sobre els residus per recollir-los
Clean & collect fond marin			Aligne les crudités pour faire le meilleur score !		¡Alinea las verduras crudas para obtener la mejor puntuación!	Alinea les verdures crues per obtenir la millor puntuació!
Crudi Crush Fruits	CrudiCrush_Instructions	X	Aligne les cruditÉs pour faire le meilleur score !	Line up the raw vegetables to get the highest score!	¡Alinea las verduras crudas para obtener la mejor puntuación!!	Alinea les verdures crues per obtenir la millor puntuació!!
Crudi Crush Legumes			Aligne les cruditÉs pour faire le meilleur score !		¡Alinea las verduras crudas para obtener la mejor puntuación!	Alinea les verdures crues per obtenir la millor puntuació!!
La chasse au CO2	CO2_Instructions	X	Tirer sur les molecules 3D de CO2, NH4, N2O	Shoot the 3D molecules of CO2, NH4, and N2O	Tirar sobre las moléculas 3D de CO2, NH4, N2O	Apunteu a les molècules 3D de CO2, NH4, N2O
differences	Differences_Instructions	X	Tirer sur les différences	Highlight the differences	Apuntar a las diferencias	Apunteu a les diferències
Fuyons cimetierre	Fuyons_Instructions	X	Tirer sur les monstrer et sur les bols lumineux	Shoot the monsters and the glowing bowls	Dispara a los monstruos y a los cuencos de luz.	Dispara als monstres i als bols de llum
Fuyons château fort			Tirer sur les monstrer et sur les bols lumineux		Dispara a los monstruos y a los cuencos de luz.	Dispara als monstres i als bols de llum
Fuyons neiges			Tirer sur les monstrer et sur les bols lumineux		Dispara a los monstruos y a los cuencos de luz.	Dispara als monstres i als bols de llum
La nuit des zombies dessert	Zombies_Instructions	X	Degommer un maximum de zombies !	Take out as many zombies as possible!	¡Elimina a tantos zombis como puedas!	Elimina tants zombis com puguis!
La nuit des zombies western			Degommer un maximum de zombies !		¡Elimina a tantos zombis como puedas!	Elimina tants zombis com puguis!
La nuit des zombies ville			Degommer un maximum de zombies !s		¡Elimina a tantos zombis como puedas!	Elimina tants zombis com puguis!
Light Smash 	LightSmash_Instructions	X	Tirer sur les parties lumineuses	Shoot the bright areas	Tira a las partes luminosas	Apunta a les parts de lluminoses
Mo&Mat	Mo&Mat_Instructions					
Molécules	Molecules_Instructions	X	Lancez le ballon sur vos molecules pour les multiplier!	Bounce the ball off your molecules to multiply them!	¡Lanza la pelota a tus moléculas para multiplicarlas!	Llança la pilota a les teves molècules per multiplicar-les!
Monstres Gallerie / Halloween	Monstres_Instructions	X	Eliminer un maximum de monstres !	Take out as many monsters as possible!	¡Elimina tantos monstruos como sea posible!	Elimina tants monstres com sigui possible!
Mosquitoes camping	Mosquitoes_Instructions	x	Tirer sur les moustiques	Shoot the mosquitoes	Dispara a los mosquitos	Dispara als mosquits
Mosquitoes sdb			Tirer sur les moustiques		Dispara a los mosquitos	Dispara als mosquits
O’Lou	O’Lou_Instructions	X	Lance le ballon pour dégommer les loups !	Throw the ball to knock out the wolves!	¡Lanza la pelota para abatir a los lobos!	Apunta als llops per abatre'ls
QUIZ 	QUIZ_Instructions	X	Tirer sur A, B, C, ou D pour la bonne réponse	Throw the ball on A, B, C, or D for the correct answer	Lanza a: A, B, C o D para obtener la respuesta correcta.	Apunta a: A, B, C o D per obtenir la resposta correcta
Scène de ménage 	SceneDeMenage_Instructions	X	Casser la vaiselle !	Break the dishes!	¡Rompe los platos!	Trenca els plats!
Target 	Target _Instructions		Lancer le ballon sur les cibles le plus vite possible !	Throw the ball at the targets as fast as you can!	¡Lanza la pelota a los objetivos lo más rápido posible!	Llança la pilota als objectius tan ràpid com puguis!
Tetrax/Paques	Tetrax_Paques_Instructions	X	Lancer le ballon sur les oeufs avant qu'ils ne touchent le bas de l'ecran !	Throw the ball at the eggs before they hit the bottom of the screen!	¡Lanza la pelota a los huevos antes de que toquen la parte inferior de la pantalla!	Llança la pilota als ous abans que toquin la part inferior de la pantalla!
